"Product page","Category","Etsy SKU","Child inventory SKU","Quantity per pack"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-PNK-SQU-5PK","ACC-FNCY-PNK-SQU-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-MNTFOIL-20MM-10PK","ACR-MNTFOIL-20MM-1PK","10"
"Fire Truck Bead","focal-beads","FOC-PAT-FRETRCK-5PK","FOC-PAT-FRETRCK-1PK","5"
"ilicone Round Bead","spacers-accessories","SIL-12MM-BTRED-10PK","SIL-12MM-BTRED-1PK","10"
"Retro Bee  Bead","spacers-accessories","SIL15-PRNT-BEES-10PK","SIL15-PRNT-BEES-1PK","10"
"Dog Mom Bead","focal-beads","FOC-ANI-DGMM-5PK","FOC-ANI-DGMM-1PK","5"
"M","mixes-bundles-kits","SIL15-PRNT-LTORGMRBL-10PK","SIL15-PRNT-LTORGMRBL-1PK","10"
"Pink Duck Bead","uncategorized","SIL15-PRNT-PNKDCK-10PK","SIL15-PRNT-PNKDCK-1PK","10"
"16mm  olid Blue Bead","acrylic","ACR-16MM-SLD-BLU-5PK","ACR-16MM-SLD-BLU-1PK","5"
"14mm Rhine tone Bead","rhinestone-beads","RHNST-YEL-14MM-10PK","RHNST-YEL-14MM-1PK","10"
"15mm Cracked Bead","spacers-accessories","SIL15-PRNT-CRCKDDKPNK-5PK","SIL15-PRNT-CRCKDDKPNK-1PK","5"
"Printed  ilicone Round Bead","mixes-bundles-kits","SIL-PRNT-15MM-BSBLL-5PK","SIL-PRNT-15MM-BSBLL-1PK","5"
"pider Web Bead","uncategorized","SIL15-PRNT-SPDRWB-10PK","SIL15-PRNT-SPDRWB-1PK","10"
"Beaded Pen Blank","beadable-pen-blanks","PEN-OMB-LTPNK-5PK","PEN-OMB-LTPNK-1PK","5"
"M","mixes-bundles-kits","SIL15-PRNT-TRQMRBL-10PK","SIL15-PRNT-TRQMRBL-1PK","10"
"Glitter Bead","uncategorized","SIL12-GLTTRPUR-5PK","SIL12-GLTTRPUR-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-PUR-GF-20-5PK","ACR-PUR-GF-20-1PK","5"
"Beadable Mirror","beadable-products","BLK-MIR-HRT-DKPNK-3PK","BLK-MIR-HRT-DKPNK-1PK","3"
"Ea ter Bead","charms-dangles","FOC-HOL-RBBTEGGS-5PK","FOC-HOL-RBBTEGGS-1PK","5"
"Glitter Bead","uncategorized","SIL12-GLTTRBLK-5PK","SIL12-GLTTRBLK-1PK","5"
"16mm  olid Peach Bead","acrylic","ACR-16MM-SLD-PCH-10PK","ACR-16MM-SLD-PCH-1PK","10"
"Gnome Bead","focal-beads","FOC-HAL-SMLNGPMKN-5PK","FOC-HAL-SMLNGPMKN-1PK","5"
"Beadable Mirror","beadable-products","BLK-MIR-HRT-PUR-3PK","BLK-MIR-HRT-PUR-1PK","3"
"Ea ter Bead","silicone","SIL15-PRNT-PSTLHRTS-5PK","SIL15-PRNT-PSTLHRTS-1PK","5"
"16mm Bead","acrylic","ACR-16MM-UVAB-LTBLU-5PK","ACR-16MM-UVAB-LTBLU-1PK","5"
"Fi hing Bead","focal-beads","FOC-FAM-BTME-5PK","FOC-FAM-BTME-1PK","5"
"3D Bead Reindeer Bead","charms-dangles","FOC-XMS-3D-RNDEER-5PK","FOC-XMS-3D-RNDEER-1PK","5"
"20mm Bubblegum Bead","rhinestone-beads","ACR-ESTRMIX-20MM-10PK","ACR-ESTRMIX-20MM-1PK","10"
"Chri tma   ilicone Jar Focal Bead","focal-beads","HAL-3D-JR-REDPPRMNT-5PK","HAL-3D-JR-REDPPRMNT-1PK","5"
"16mm Bead","mixes-bundles-kits","ACR-16MM-UVAB-DKBLU-10PK","ACR-16MM-UVAB-DKBLU-1PK","10"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-VLLYBLL-20MM-20PK","ACR-VLLYBLL-20MM-1PK","20"
"Large Hole  pacer","spacers-accessories","ACC-FRRY-BWN-5PK","ACC-FRRY-BWN-1PK","5"
"20mm White Rhine tone  wirl Bead","rhinestone-beads","RHNST-SWRL-WHTRED-2PK","RHNST-SWRL-WHTRED-1PK","2"
"Large Hole  pacer","spacers-accessories","ACC-MRBLE-AQUA-5PK","ACC-MRBLE-AQUA-1PK","5"
"ilicone Round Bead","focal-beads","SIL-15MM-DIMGRY-10PK","SIL-15MM-DIMGRY-1PK","10"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-CLR-BOW-5PK","ACC-FNCY-CLR-BOW-1PK","5"
"3D Plant Focal  ilicone Bead","focal-beads","FOC-SPR-3D-BKPLNT-5PK","FOC-SPR-3D-BKPLNT-1PK","5"
"Cupcake Bead","focal-beads","FOC-FOD-3DPURCPCKE-5PK","FOC-FOD-3DPURCPCKE-1PK","5"
"Bird Bead","focal-beads","FOC-SPR-BRDHSE-YEL-5PK","FOC-SPR-BRDHSE-YEL-1PK","5"
"Mama Bead","focal-beads","FOC-FAM-UGLYCHLDRN-5PK","FOC-FAM-UGLYCHLDRN-1PK","5"
"Printed Bead 15mm Round Bead","uncategorized","SIL15-PRNT-ANTLERS-5PK","SIL15-PRNT-ANTLERS-1PK","5"
"16mm Clear Bubble Acrylic Beads Color Core Round Beads Transparent Beads Beadable Pen Beads Jewelry Making Craft Supplies","acrylic","ACR-16MM-BBLE-DK-5PK","ACR-16MM-BBLE-DK-1PK","5"
"Dog Paw Keychain Bar","beadable-products","BLK-DOGPAW-SLV-5PK","BLK-DOGPAW-SLV-1PK","5"
"16mm Clear Bubble Acrylic Beads Color Core Round Beads Transparent Beads Beadable Pen Beads Jewelry Making Craft Supplies","acrylic","ACR-16MM-BBLE-DK-20PK","ACR-16MM-BBLE-DK-1PK","20"
"Large Hole  pacer","spacers-accessories","ACC-MRBLE-WHT-5PK","ACC-MRBLE-WHT-1PK","5"
"20mm  olid White Bead","acrylic","ACR-20MM-SLD-WHT-10PK","ACR-20MM-SLD-WHT-1PK","10"
"Pug Bead","focal-beads","FOC-ANI-PUG-5PK","FOC-ANI-PUG-1PK","5"
"Cup Charm Wire","beadable-products","BLK-WIRE-PNK-5PK","BLK-WIRE-PNK-1PK","5"
"Glitter Ea ter Acrylic Flatback","acrylic-flatbacks","FLB-HOL-PNKHPPYSTR-5PK","FLB-HOL-PNKHPPYSTR-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-STRS-20MM-5PK","ACR-STRS-20MM-1PK","5"
"Your Wing  Bead","focal-beads","FOC-FAM-WNGSRDY-5PK","FOC-FAM-WNGSRDY-1PK","5"
"3D Bead Gnome Bead","focal-beads","FOC-PAT-3D-GNOME-PLCE-5PK","FOC-PAT-3D-GNOME-PLCE-1PK","5"
"Large Hole  pacer","spacers-accessories","ACC-CRCKD-WHT-5PK","ACC-CRCKD-WHT-1PK","5"
"16mm Bead","acrylic","ACR-16MM-UVAB-WHT-25PK","ACR-16MM-UVAB-WHT-1PK","25"
"Beaded Pen Blank","beadable-pen-blanks","PEN-SOL-GRY-5PK","PEN-SOL-GRY-1PK","5"
"port  Bead","charms-dangles","FOC-SPT-FTBLLHRT-5PK","FOC-SPT-FTBLLHRT-1PK","5"
"3D Ba eball Cheer Focal Bead","focal-beads","FOC-SPT-3D-BSBLLGNME-5PK","FOC-SPT-3D-BSBLLGNME-1PK","5"
"Beadable Mirror","beadable-products","BLK-MIR-HRT-BLU-3PK","BLK-MIR-HRT-BLU-1PK","3"
"10mm Wide Hole Gem  pacer","rhinestone-beads","ACC-GEM-WDHL-LTPNK-10PK","ACC-GEM-WDHL-LTPNK-1PK","10"
"3D Large Bow  ilicone Focal Bead","focal-beads","FOC-TAILBW-LTPNK-5PK","FOC-TAILBW-LTPNK-1PK","5"
"Beadable Keychain Blank","beadable-products","BLK-KYCHN-STAR-WHT-5PK","BLK-KYCHN-STAR-WHT-1PK","5"
"ilicone Cup  traw Topper","charms-dangles","ACC-STRWTOP-WHTTREE-5PK","ACC-STRWTOP-WHTTREE-1PK","5"
"20mm Bubblegum Bead","acrylic","ACR-STRPE-REDGRN-20MM-20PK","ACR-STRPE-REDGRN-20MM-1PK","20"
"We tern  ilicone Focal Bead","focal-beads","FOC-WES-3DOVRLLS-5PK","FOC-WES-3DOVRLLS-1PK","5"
"Pencil Bead","focal-beads","FOC-SCH-PNCL-BSTTCHR-5PK","FOC-SCH-PNCL-BSTTCHR-1PK","5"
"Thank giving Bead","focal-beads","FOC-HOL-TRKY-5PK","FOC-HOL-TRKY-1PK","5"
"Graduation Cap Bead","charms-dangles","FOC-SCH-GRDUTNCP-5PK","FOC-SCH-GRDUTNCP-1PK","5"
"Chri tma   ilicone Jar Focal Bead","focal-beads","HAL-3D-JR-GRNPPRMNT-5PK","HAL-3D-JR-GRNPPRMNT-1PK","5"
"Wavy  pacer","spacers-accessories","ACC-WAVY-MAT-50PK","ACC-WAVY-MAT-1PK","50"
"Beaded Pen Blank","beadable-pen-blanks","PEN-SOL-MATPUR-5PK","PEN-SOL-MATPUR-1PK","5"
