"Product page","Category","Etsy SKU","Inventory SKU","Quantity per Etsy unit","Reason"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMBLUPNK-1PK","ACC-KYCHNTMBLR-CHRMBLUPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMPNK-1PK","ACC-KYCHNTMBLR-CHRMPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMPNKPUR-1PK","ACC-KYCHNTMBLR-CHRMPNKPUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMYB-1PK","ACC-KYCHNTMBLR-CHRMYB-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMYP-1PK","ACC-KYCHNTMBLR-CHRMYP-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-CHRMYR-1PK","ACC-KYCHNTMBLR-CHRMYR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-DKPNK-1PK","ACC-KYCHNTMBLR-DKPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-PNK-1PK","ACC-KYCHNTMBLR-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-RED-1PK","ACC-KYCHNTMBLR-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-BLU-1PK","ACC-PENS-CRYN-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-GRN-1PK","ACC-PENS-CRYN-GRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-ORG-1PK","ACC-PENS-CRYN-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-PUR-1PK","ACC-PENS-CRYN-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-RED-1PK","ACC-PENS-CRYN-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Crayon Beaded Pen","uncategorized","ACC-PENS-CRYN-YEL-1PK","ACC-PENS-CRYN-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"nowman Beaded Pen","uncategorized","ACC-PENS-SNWMEN-BLK-1PK","ACC-PENS-SNWMEN-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"nowman Beaded Pen","uncategorized","ACC-PENS-SNWMEN-BLU-1PK","ACC-PENS-SNWMEN-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"nowman Beaded Pen","uncategorized","ACC-PENS-SNWMEN-GRN-1PK","ACC-PENS-SNWMEN-GRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"nowman Beaded Pen","uncategorized","ACC-PENS-SNWMEN-RED-1PK","ACC-PENS-SNWMEN-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"nowman Beaded Pen","uncategorized","ACC-PENS-SNWMEN-SLV-1PK","ACC-PENS-SNWMEN-SLV-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-CMO-1PK","ACC-PRNTTSSL-CMO-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-CWPRNT-1PK","ACC-PRNTTSSL-CWPRNT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-DKBWNCH-1PK","ACC-PRNTTSSL-DKBWNCH-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-LTBWNCH-1PK","ACC-PRNTTSSL-LTBWNCH-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-RNBW-1PK","ACC-PRNTTSSL-RNBW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-SNFLWR-1PK","ACC-PRNTTSSL-SNFLWR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Printed Faux Leather Ta el","charms-dangles","ACC-PRNTTSSL-STRS-1PK","ACC-PRNTTSSL-STRS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGBEES-1PK","ACC-RNGBEES-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGBLKCHCKRD-1PK","ACC-RNGBLKCHCKRD-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGBLKPLD-1PK","ACC-RNGBLKPLD-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGBLKZBRA-1PK","ACC-RNGBLKZBRA-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGCCTS-1PK","ACC-RNGCCTS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGCFFBN-1PK","ACC-RNGCFFBN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGFRT-1PK","ACC-RNGFRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGGLXY-1PK","ACC-RNGGLXY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGHGHLNDCW-1PK","ACC-RNGHGHLNDCW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGJESUS-1PK","ACC-RNGJESUS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGNRSLFE-1PK","ACC-RNGNRSLFE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGPNKCW-1PK","ACC-RNGPNKCW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGPWPRNT-1PK","ACC-RNGPWPRNT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGREDPLD-1PK","ACC-RNGREDPLD-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGRSES-1PK","ACC-RNGRSES-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"65mm Printed  ilicone Ring","focal-beads","ACC-RNGSNFLWBLKCW-1PK","ACC-RNGSNFLWBLKCW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
